,Date,SKU_Category,Quantity,Sales_Amount,item_price,day,month,price
10722,2016-09-08,R6E,13.0,53.34,4.262499999999999,8.0,9.0,4.103076923076923
10737,2016-09-09,29A,19.0,99.97,6.295714285714285,9.0,9.0,5.261578947368421
10746,2016-09-09,FEW,8.0,75.0,9.375,9.0,9.0,9.375
10760,2016-09-09,N8U,32.0,121.45,3.9078205128205132,9.0,9.0,3.7953125
10768,2016-09-09,R6E,16.0,54.95,3.8948717948717952,9.0,9.0,3.434375
10782,2016-09-10,29A,5.0,28.61,5.7219999999999995,10.0,9.0,5.7219999999999995
10790,2016-09-10,FEW,12.0,114.78,9.678636363636363,10.0,9.0,9.565
10802,2016-09-10,N8U,29.0,107.63,3.66125,10.0,9.0,3.7113793103448276
10807,2016-09-10,R6E,12.0,84.21,7.319999999999999,10.0,9.0,7.017499999999999
10820,2016-09-11,29A,9.0,42.54,5.2628571428571425,11.0,9.0,4.726666666666667
10829,2016-09-11,FEW,7.0,69.27,9.272499999999999,11.0,9.0,9.895714285714286
10843,2016-09-11,N8U,42.0,183.12,4.536981981981982,11.0,9.0,4.36
10851,2016-09-11,R6E,11.0,77.12,7.010909090909092,11.0,9.0,7.010909090909092
10866,2016-09-12,29A,5.0,24.55,4.91,12.0,9.0,4.91
10875,2016-09-12,FEW,11.0,116.31,10.21,12.0,9.0,10.573636363636364
10890,2016-09-12,N8U,47.0,187.79,4.2457317073170735,12.0,9.0,3.995531914893617
10898,2016-09-12,R6E,14.0,130.1,9.671153846153846,12.0,9.0,9.292857142857143
10913,2016-09-13,29A,16.0,102.85,6.517142857142857,13.0,9.0,6.428125
10922,2016-09-13,FEW,12.0,120.09,9.738499999999998,13.0,9.0,10.0075
10937,2016-09-13,N8U,45.0,162.53,3.978823529411765,13.0,9.0,3.6117777777777778
10945,2016-09-13,R6E,14.0,139.3,10.428076923076922,13.0,9.0,9.950000000000001
10960,2016-09-14,29A,15.0,88.76,6.495384615384615,14.0,9.0,5.917333333333334
10969,2016-09-14,FEW,10.0,73.55,7.573888888888888,14.0,9.0,7.3549999999999995
10984,2016-09-14,N8U,31.0,123.06,3.9696774193548388,14.0,9.0,3.9696774193548388
10992,2016-09-14,R6E,4.0,27.68,6.92,14.0,9.0,6.92
11007,2016-09-15,29A,5.0,54.46,10.892,15.0,9.0,10.892
11014,2016-09-15,FEW,7.0,69.95,9.992857142857144,15.0,9.0,9.992857142857144
11028,2016-09-15,N8U,33.0,113.01,3.5622222222222217,15.0,9.0,3.424545454545455
11036,2016-09-15,R6E,11.0,58.78,5.343636363636364,15.0,9.0,5.343636363636364
11051,2016-09-16,29A,29.0,157.77,6.041428571428571,16.0,9.0,5.440344827586207
11060,2016-09-16,FEW,8.0,79.22,9.9025,16.0,9.0,9.9025
11074,2016-09-16,N8U,28.0,121.25,4.330357142857142,16.0,9.0,4.330357142857143
11081,2016-09-16,R6E,32.0,143.9,4.869603174603175,16.0,9.0,4.496875
11093,2016-09-17,29A,9.0,47.730000000000004,5.765625,17.0,9.0,5.303333333333334
11101,2016-09-17,FEW,3.0,20.85,6.95,17.0,9.0,6.95
11113,2016-09-17,N8U,30.0,115.33,3.821724137931034,17.0,9.0,3.844333333333333
11120,2016-09-17,R6E,16.0,63.94,4.3671428571428565,17.0,9.0,3.99625
11134,2016-09-18,29A,13.0,80.11,8.191875,18.0,9.0,6.162307692307692
11143,2016-09-18,FEW,8.0,63.07,7.88375,18.0,9.0,7.88375
11158,2016-09-18,N8U,19.0,69.61,3.7875,18.0,9.0,3.663684210526316
11164,2016-09-18,R6E,14.0,94.32,7.339166666666667,18.0,9.0,6.737142857142857
11179,2016-09-19,29A,17.0,88.19,5.272916666666666,19.0,9.0,5.187647058823529
11188,2016-09-19,FEW,12.0,102.24,8.538636363636364,19.0,9.0,8.52
11203,2016-09-19,N8U,43.0,157.33,3.7889189189189194,19.0,9.0,3.658837209302326
11211,2016-09-19,R6E,20.0,140.88,7.9662500000000005,19.0,9.0,7.044
11226,2016-09-20,29A,9.0,59.19,7.4750000000000005,20.0,9.0,6.576666666666666
11235,2016-09-20,FEW,15.0,139.51,9.300666666666666,20.0,9.0,9.300666666666666
11250,2016-09-20,N8U,53.0,184.67,3.7568115942028983,20.0,9.0,3.4843396226415093
11258,2016-09-20,R6E,25.0,142.28,5.686666666666667,20.0,9.0,5.6912
11272,2016-09-21,29A,9.0,80.28999999999999,8.921111111111111,21.0,9.0,8.92111111111111
11281,2016-09-21,FEW,10.0,88.29,8.829,21.0,9.0,8.829
